state,value
Alabama,19
Alaska,16
Arizona,17
Arkansas,16
California,15
Colorado,40
Connecticut,72
Delaware,27
District of Columbia,70
Florida,26
Georgia,29
Hawaii,14
Idaho,23
Illinois,40
Indiana,27
Iowa,13
Kansas,13
Kentucky,11
Louisiana,87
Maine,20
Maryland,23
Massachusetts,83
Michigan,65
Minnesota,10
Mississippi,28
Missouri,17
Montana,17
Nebraska,7
Nevada,33
New Hampshire,23
New Jersey,187
New Mexico,13
New York,342
North Carolina,12
North Dakota,14
Ohio,17
Oklahoma,12
Oregon,14
Pennsylvania,32
Puerto Rico,5
Rhode Island,39
South Carolina,18
South Dakota,11
Tennessee,27
Texas,10
Utah,25
Vermont,41
Virginia,12
Washington,64
West Virginia,8
Wisconsin,21
Wyoming,16